DATE,CLOCK,HEART
21/06/2024,17.55.56,126
21/06/2024,17.56.20,121
21/06/2024,17.56.24,122
21/06/2024,17.56.29,128
21/06/2024,17.56.33,121
21/06/2024,17.56.37,120
21/06/2024,17.56.42,115
21/06/2024,17.56.46,116
21/06/2024,17.57.04,115
21/06/2024,17.57.08,117
21/06/2024,17.57.12,116
21/06/2024,17.57.16,117
21/06/2024,17.57.21,114
21/06/2024,17.57.25,118
21/06/2024,17.58.02,116
21/06/2024,17.58.28,116
21/06/2024,17.58.32,117
21/06/2024,18.02.08,117
21/06/2024,18.02.13,115
21/06/2024,18.02.49,116
21/06/2024,18.02.54,115
21/06/2024,18.02.59,115
21/06/2024,18.03.03,117
21/06/2024,18.03.07,117
21/06/2024,18.03.12,117
21/06/2024,18.03.17,112
21/06/2024,18.03.21,114
21/06/2024,18.03.43,114
21/06/2024,18.03.47,116
21/06/2024,18.03.51,117
21/06/2024,18.03.56,118
21/06/2024,18.04.00,117
21/06/2024,18.04.04,117
21/06/2024,18.04.08,117
21/06/2024,18.05.12,117
21/06/2024,18.06.45,118
21/06/2024,18.07.11,118
21/06/2024,18.07.15,116
21/06/2024,18.07.20,114
21/06/2024,18.07.24,112
21/06/2024,18.07.28,115
21/06/2024,18.08.00,114
21/06/2024,18.08.04,115
21/06/2024,18.08.09,115
21/06/2024,18.08.13,116
21/06/2024,18.08.46,117
21/06/2024,18.08.51,117
21/06/2024,18.08.55,117
21/06/2024,18.08.59,117
21/06/2024,18.09.03,118
21/06/2024,18.09.08,118
21/06/2024,18.09.12,119
21/06/2024,18.09.23,119
21/06/2024,18.09.49,122
21/06/2024,18.09.54,120
21/06/2024,18.09.58,121
21/06/2024,18.10.02,121
21/06/2024,18.10.06,119
21/06/2024,18.10.41,117
21/06/2024,18.10.45,114
21/06/2024,18.10.49,117
21/06/2024,18.10.53,117
21/06/2024,18.11.20,110
21/06/2024,18.11.24,111
21/06/2024,18.11.29,114
21/06/2024,18.11.33,119
21/06/2024,18.11.37,120
21/06/2024,18.11.58,121
21/06/2024,18.12.02,119
21/06/2024,18.12.06,118
21/06/2024,18.12.11,118
21/06/2024,18.12.30,118
21/06/2024,18.12.55,118
21/06/2024,18.13.29,118
21/06/2024,18.13.34,118
21/06/2024,18.13.58,118
21/06/2024,18.14.02,121
21/06/2024,18.15.57,120
21/06/2024,18.16.02,118
21/06/2024,18.16.06,117
21/06/2024,18.16.11,116
21/06/2024,18.16.16,115
21/06/2024,18.16.20,115
21/06/2024,18.16.27,115
21/06/2024,18.16.31,115
21/06/2024,18.16.35,116
21/06/2024,18.16.39,117
21/06/2024,18.16.44,116
21/06/2024,18.16.48,114